district_name,state_ut,households_surveyed,women_15_49_interviewed,men_15_54_interviewed,female_population_age_6_years_and_above_ever_schooled_pct,population_below_age_15_years_pct,sex_ratio_total_f_per_1000_m,sex_ratio_at_birth_5y_f_per_1000_m,child_u5_whose_birth_was_civil_reg_pct,deaths_in_the_last_3_years_civil_reg_pct,hh_electricity_pct,hh_improved_water_pct,hh_use_improved_sanitation_pct,households_using_clean_fuel_for_cooking_pct,households_using_iodized_salt_pct,hh_member_covered_health_insurance_pct,child_5y_who_attended_pre_primary_school_during_the_school_pct,women_age_15_49_who_are_literate_pct,women_age_15_49_with_10_or_more_years_of_schooling_pct,w20_24_married_before_age_18_years_pct,births_in_the_5_years_preceding_the_survey_that_are_birth_3_pct,w15_19_who_were_already_mothers_or_pregnant_at_the_time_of_pct,w15_24_who_use_menstrual_hygiene_pct,fp_cm_w15_49_any_method_pct,fp_cm_w15_49_modern_method_pct,fp_cm_w15_49_f_steril_pct,fp_cm_w15_49_m_steril_pct,fp_cm_w15_49_iud_pct,fp_cm_w15_49_pill_pct,fp_cm_w15_49_condom_pct,fp_cm_w15_49_injectables_pct,fp_unmet_total_cm_w15_49_7_pct,fp_unmet_spacing_cm_w15_49_7_pct,health_worker_ever_talked_to_female_non_users_about_family_pct,current_users_ever_told_about_side_effects_of_current_metho_pct,mothers_who_had_an_anc_visit_in_the_first_trimester_lb5y_pct,mothers_who_had_at_least_4_anc_visits_lb5y_pct,mothers_whose_last_birth_was_protected_against_neo_tetanus_pct,mothers_who_consumed_ifa_for_100_days_or_more_when_they_wer_pct,mothers_who_consumed_ifa_for_180_days_or_more_when_they_wer_pct,registered_pregnancies_for_which_the_mother_received_a_mcp_pct,mothers_who_received_pnc_from_a_doctor_nurse_lhv_anm_midwif_pct,average_out_of_pocket_expenditure_per_delivery_in_a_public_fac,children_born_at_home_who_were_taken_to_a_health_facility_f_pct,children_who_received_pnc_from_a_doctor_nurse_lhv_anm_midwi_pct,institutional_birth_5y_pct,institutional_birth_in_public_facility_5y_pct,home_birth_that_were_conducted_by_skilled_hp_5y_10_pct,births_attended_by_skilled_hp_5y_10_pct,births_delivered_by_csection_5y_pct,births_in_a_private_fac_that_were_delivered_by_csection_5y_pct,births_in_a_public_fac_that_were_delivered_by_csection_5y_pct,child_12_23m_fully_vaccinated_based_on_information_from_eit_pct,child_12_23m_fully_vaccinated_based_on_information_from_vax_pct,child_12_23m_who_have_received_bcg_pct,child_12_23m_who_have_received_3_doses_of_polio_vaccine_pct,child_12_23m_who_have_received_3_doses_of_penta_or_dpt_vacc_pct,child_12_23m_who_have_received_the_first_dose_of_mcv_mcv_pct,child_24_35m_who_have_received_a_second_dose_of_mcv_mcv_pct,child_12_23m_who_have_received_3_doses_of_rotavirus_vaccine_pct,child_12_23m_who_have_received_3_doses_of_penta_or_hepatiti_pct,child_9_35m_who_received_a_vit_a_in_the_last_6_months_pct,child_12_23m_who_received_most_of_their_vaccinations_in_a_p_pct,child_12_23m_who_received_most_of_their_vaccinations_in_a_2_pct,prev_diarrhoea_2wk_child_u5_pct,children_with_diarrhoea_2wk_who_received_oral_rehydration_s_pct,children_with_diarrhoea_2wk_who_received_zinc_child_u5_pct,children_with_diarrhoea_2wk_taken_to_a_health_facility_or_h_pct,children_prev_symptoms_of_acute_respiratory_infection_ari_2_pct,children_with_fever_or_symptoms_of_ari_2wk_taken_to_a_healt_pct,children_under_age_3_years_breastfed_within_one_hour_of_bir_pct,child_u6m_exclusively_breastfed_pct,child_6_8m_receiving_solid_or_semi_solid_food_and_breastmil_pct,breastfeeding_child_6_23m_receiving_an_adequate_diet16_17_pct,non_breastfeeding_child_6_23m_receiving_an_adequate_diet16_pct,total_child_6_23m_receiving_an_adequate_diet16_17_pct,child_u5_who_are_stunted_height_for_age_18_pct,child_u5_who_are_wasted_weight_for_height_18_pct,child_u5_who_are_severe_wasted_weight_for_height_19_pct,child_u5_who_are_underweight_weight_for_age_18_pct,child_u5_who_are_overweight_weight_for_height_20_pct,women_age_15_49_years_whose_bmi_bmi_is_underweight_bmi_lt_1_pct,women_age_15_49_years_who_are_overweight_obese_bmi_gte_25_0_pct,women_age_15_49_years_who_have_high_risk_whr_gte_0_85_pct,child_6_59m_who_are_anaemic_lt_11_0_g_dl_22_pct,non_pregnant_w15_49_who_are_anaemic_lt_12_0_g_dl_22_pct,pregnant_w15_49_who_are_anaemic_lt_11_0_g_dl_22_pct,all_w15_49_who_are_anaemic_pct,all_w15_19_who_are_anaemic_pct,women_age_15_years_and_above_with_high_141_160_mg_dl_blood_pct,w15_plus_with_very_high_gt_160_mg_dl_blood_sugar_pct,w15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,m15_plus_with_high_141_160_mg_dl_blood_sugar_pct,men_age_15_years_and_above_with_very_high_gt_160_mg_dl_bloo_pct,m15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,w15_plus_with_mildly_high_bp_sys_140_159_mmhg_and_or_dia_90_pct,w15_plus_with_moderately_or_severely_high_bp_sys_gte_160_mm_pct,w15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,m15_plus_with_mildly_high_bp_sys_140_159_mmhg_and_or_dia_90_pct,m15_plus_with_moderately_or_severely_high_bp_sys_gte_160_mm_pct,m15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,women_age_30_49_years_ever_undergone_a_cervical_screen_pct,women_age_30_49_years_ever_undergone_a_breast_exam_pct,women_age_30_49_years_ever_undergone_an_oral_cancer_exam_pct,w15_plus_who_use_any_kind_of_tobacco_pct,m15_plus_who_use_any_kind_of_tobacco_pct,w15_plus_who_consume_alcohol_pct,m15_plus_who_consume_alcohol_pct
Nicobars,Andaman & Nicobar Islands,882,764,125,78,23,973,927 ,98,83.2 ,97.9,98.8,83.5,56.9,99.4,2.7,(29.5),87.5,53.5,11.4 ,0.0 ,1.8 ,100,65.3,57.2,46.4,0,2.7,2,4.9,1.2,9.5,3.3,40.4,49.4 ,62.8 ,71.7 ,78.0 ,72.6 ,43.9 ,97.9 ,85.1 ,2278 ,*,92.5 ,97.8,96.7,0.8,98.6,11.5,*,10.7 ,(64.2),(94.1),(80.4),(69.1),(71.9),(67.3),(20.7),(3.1),(68.6),94.9 ,(100.0),(0.0),5.7,*,*,*,1.8,(85.7),55.4 ,*,*,(19.4),*,(18.7),21.6 ,15.7 ,7.8 ,24.6 ,1.5 ,8.2,39.1,62.5,37.7 ,38.4,*,38.3,48.0 ,7.4,3.9,13.1,9.6,4.4,15.4,23.2,8.5,35.4,32.9,11.1,47,13.4,13.2,5.4,63.5,76.8,29.6,64.5
North & Middle Andaman ,Andaman & Nicobar Islands,874,789,108,82.7,19.8,950,844 ,100,(92.6),93.2,92.2,86.4,61.3,99.9,2.1,(30.1),84,41,15.4 ,1.5 ,3.8 ,100,84.1,73.1,48.3,0.6,6.4,7.8,9.3,0,5.8,1.3,23.2,83.2 ,74.5 ,79.2 ,91.1 ,83.7 ,24.1 ,99.2 ,92.5 ,1904 ,*,94.3 ,97.7,95,0.7,98.3,12.9,*,11.4 ,*,*,*,*,*,*,*,*,*,(89.6),*,*,4.5,*,*,*,7,*,27.3 ,*,*,(6.5),*,(5.9),27.0 ,27.0 ,8.3 ,42.8 ,0.8 ,8.6,35.9,79.3,30.4 ,62.5,*,62.1,47.8 ,7.2,6.4,16.7,9.1,6.9,18.3,18.4,4,27.4,22.6,6,32.2,1.7,0.3,15.8,46.8,70.5,5.1,45.3
South Andaman ,Andaman & Nicobar Islands,868,844,134,84.7,21,967,935 ,96.5,92.2 ,99.6,97.9,89.3,91.9,99.7,1.2,(50.8),86.7,57.5,17.1 ,0.5 ,2.8 ,98.2,57.1,50.5,34,0,2.8,1.8,10.6,0.3,17.6,8.6,31.2,88.2 ,79.4 ,85.9 ,92.1 ,81.0 ,61.9 ,98.9 ,88.1 ,3460 ,*,89.8 ,99.5,83.8,0,96.9,37.1,(79.1),29.6 ,(76.3),(96.6),(100.0),(79.0),(94.8),(81.7),(33.7),(0.0),(85.3),84.0 ,(93.1),(4.3),6,*,*,*,0,(77.3),51.1 ,*,*,(22.3),*,23.5 ,21.1 ,12.6 ,3.5 ,17.4 ,7.2 ,10,39,78.2,43.4 ,57.6,*,57.7,43.2 ,7.5,9.5,18.4,9.3,7.8,18.1,12.7,4.9,23,17.9,6.1,26.9,1.3,0.7,8,19.6,50.8,1.7,32.8
Srikakulam ,Andhra Pradesh,874,780,100,60,20.7,1140,1163 ,95,71.0 ,99.9,87.7,71.6,74.7,76.5,75.6,(0.0),64.3,42.5,25.4 ,0.0 ,5.5 ,78,72.3,72.2,71,0.3,0.6,0,0.3,0,5.7,3.6,16,45.8 ,79.7 ,78.4 ,94.4 ,67.5 ,35.3 ,100.0 ,90.8 ,3479 ,*,97.7 ,97.9,52.2,0.5,96.4,57,73.8 ,44.5 ,(82.8),(100.0),(93.3),(82.8),(89.7),(93.3),(34.9),(74.8),(89.7),69.6 ,(97.0),(3.0),11.9,*,*,*,1.3,(79.7),42.8 ,*,*,(14.0),*,16.1 ,19.7 ,19.5 ,7.4 ,21.4 ,4.5 ,13.8,27.2,54,59.6 ,62.8,*,62.6,59.2 ,8.2,7.8,17.4,6.8,8.6,17.6,12.8,5.9,22.1,14.4,5.5,22.9,1,0.2,3.8,7.1,21.3,0.6,28.3
Vizianagaram ,Andhra Pradesh,902,853,134,56,20.6,1114,898 ,95.4,81.7 ,99.5,93.1,61.7,60.3,85,76.7,(25.2),58.3,37.6,33.7 ,2.2 ,12.7 ,72.5,71.2,71.2,69.3,1.3,0,0,0.6,0,6.7,4.7,21.1,36.4 ,76.1 ,71.4 ,91.3 ,59.6 ,32.4 ,98.8 ,83.9 ,1931 ,*,89.2 ,99,70.6,0.5,97.6,41.3,70.3 ,30.3 ,(76.8),*,(100.0),(76.8),(90.3),(92.5),(35.0),(77.3),(83.6),85.9 ,(100.0),(0.0),7.5,*,*,*,1.4,(83.5),55.6 ,*,*,(2.5),*,1.8 ,36.4 ,19.2 ,8.3 ,32.2 ,4.7 ,16.9,28.8,58,66.7 ,64.6,*,64,73.9 ,6.2,7,14.3,5.8,7.5,14.5,12.9,6.6,25.2,14.8,6.4,25.1,4.9,0.6,7.3,11.4,21.5,0.8,32.3
Visakhapatnam ,Andhra Pradesh,869,818,112,66.8,21.4,1066,974 ,90.5,71.3 ,99.6,91.8,77.8,72.9,82.2,64.9,(5.0),69.5,46,25.4 ,0.0 ,9.5 ,85.7,68,67.7,64.9,1.5,0.3,0,0.8,0,4.8,2.4,15.2,35.3 ,79.4 ,58.6 ,88.0 ,75.0 ,40.1 ,97.0 ,84.8 ,2200 ,*,90.9 ,95.3,69.3,0,94.4,26.5,57.2 ,16.8 ,(76.5),(93.5),(97.9),(76.5),(90.5),(95.1),(45.1),(72.9),(79.6),91.3 ,(83.8),(9.7),8.1,*,*,*,2,(72.3),64.3 ,*,*,(6.9),*,11.8 ,31.0 ,21.5 ,11.2 ,33.5 ,4.8 ,17.4,23.8,58,72.6 ,58.6,*,58,58.9 ,6.1,8.6,17,7.3,8.5,18.2,12.1,5.9,23.9,17,7,29.2,1.7,0.7,4.1,6.3,22.8,1.3,30.2
East Godavari ,Andhra Pradesh,888,824,105,75.4,20.5,995,882 ,93,68.2 ,98.8,97.9,77.7,80.3,81.2,66.4,(11.2),77.9,43.2,26.0 ,1.3 ,6.2 ,71,66.3,66.3,64.1,0.9,0.1,0.3,1.1,0,8,4.4,12.5,32.4 ,76.3 ,51.0 ,87.0 ,62.7 ,32.3 ,91.4 ,91.9 ,8159 ,*,93.5 ,96.6,46,2.2,89.9,52.2,72.0 ,34.1 ,(59.0),(67.3),(92.7),(66.3),(83.9),(76.7),(32.5),(77.8),(86.7),81.4 ,(85.3),(7.5),13.3,(72.9),(23.0),(69.4),2.2,(63.7),51.3 ,*,*,(3.0),*,10.2 ,23.1 ,14.3 ,3.8 ,22.4 ,3.4 ,10.2,44.4,49.2,66.8 ,63.2,*,63,65.2 ,7.5,12.7,21.7,9.2,15.5,27.6,13,6.6,29,17.3,7.3,32.2,1.9,1,4.8,3.2,25.5,0.7,25.9
West Godavari ,Andhra Pradesh,884,841,122,75.4,21.5,999,833 ,93.5,90.1 ,99.3,99.1,80.8,86.8,83.4,67.6,(2.7),77,46.5,22.1 ,0.5 ,13.4 ,84.4,77.8,77.2,74.5,0.7,0.6,0.4,0.6,0.4,3,1.8,12.5,28.8 ,82.2 ,62.7 ,95.3 ,82.8 ,43.7 ,100.0 ,94.8 ,2318 ,*,96.4 ,98.7,48.8,0.7,98.5,55.7,72.0 ,40.4 ,(80.0),(87.0),(94.8),(80.0),(89.0),(91.7),(26.3),(77.7),(89.0),73.9 ,(100.0),(0.0),2.7,*,*,*,1,(71.9),32.8 ,*,*,(4.9),*,3.5 ,31.4 ,11.7 ,4.7 ,22.5 ,5.2 ,10.1,45.3,51.6,62.3 ,63.1,*,63,66.8 ,7.3,13.1,23.8,7.2,10.4,18.9,14.7,6.1,28.8,17.7,8.7,31.4,7.1,1.8,13.1,2.2,21.8,0.2,23.6
Krishna ,Andhra Pradesh,865,820,119,74,20.4,1064,1139 ,96.4,86.3 ,99.6,94.4,79.1,89.8,87.5,68.1,(15.1),76.9,46.2,25.3 ,0.0 ,9.6 ,92.6,79.1,78.1,76.5,1,0,0,0.4,0,2.5,1.4,16.1,27.7 ,81.5 ,73.3 ,95.8 ,56.2 ,39.2 ,96.4 ,88.3 ,3715 ,*,90.3 ,98.9,40.1,0.5,98,66.1,79.7 ,47.9 ,(90.0),(97.2),(93.9),(90.0),(93.9),(90.0),(33.8),(62.1),(93.9),81.0 ,(100.0),(0.0),7.8,*,*,*,2.4,(45.8),29.3 ,*,*,(26.1),*,(23.4),29.8 ,14.3 ,5.2 ,21.1 ,4.2 ,10.5,40.6,53.5,65.7 ,60.4,*,60.3,59.0 ,7.9,13.4,23.3,8.5,11.9,22.5,13.4,4.3,24,18.6,5.1,28.5,5.4,2.1,12.3,1.4,21.3,0.4,22.8
Guntur ,Andhra Pradesh,851,807,93,64.9,22.4,1055,941 ,92.3,82.5 ,99.2,99.3,83.4,91.7,85.8,71.1,(7.6),68.5,32.6,35.4 ,1.0 ,20.7 ,88,73.3,73.2,72.9,0,0.2,0,0.1,0,3.2,1.7,16.6,28.2 ,89.4 ,62.5 ,90.3 ,75.1 ,42.5 ,96.0 ,94.0 ,3912 ,*,97.2 ,98.6,49.6,0.9,95.5,53.8,72.2 ,37.0 ,(76.2),(100.0),(97.6),(76.2),(97.6),(92.5),(39.6),(87.8),(97.6),80.2 ,(97.4),(2.6),10,*,*,*,1,*,69.3 ,*,*,(8.6),*,11.2 ,23.8 ,17.8 ,8.1 ,26.9 ,3.6 ,9.6,46.4,53.4,59.3 ,59.8,(51.9),59.5,54.6 ,7.8,13,22.7,10.7,13.4,25.9,14.7,5.9,25.8,18,8.5,31.3,6.5,0.2,14.6,1.6,25.4,0.2,24.5
Prakasam ,Andhra Pradesh,821,689,95,58.1,23.1,1011,837 ,87.1,88.9 ,99.3,98.6,78.4,90.8,85.5,67.6,7.6 ,62.8,34.5,37.3 ,3.1 ,16.4 ,86.6,69,68.7,68.7,0,0,0,0,0,4.8,1.6,25.4,18.9 ,84.7 ,73.4 ,92.2 ,69.0 ,51.8 ,92.8 ,90.1 ,*,*,90.3 ,97.4,18.1,0.5,97.9,54.2,61.0 ,(31.8),(51.9),*,(89.3),(55.0),(76.0),(65.3),(28.0),(63.1),(61.9),79.9 ,*,*,7.9,*,*,*,2.9,(64.9),73.8 ,*,*,(12.0),*,(13.4),22.6 ,8.7 ,3.3 ,24.7 ,5.1 ,14.4,39.5,50.5,62.6 ,60.6,*,60.4,64.8 ,7.9,12.6,23.2,11.8,15.3,30.2,14.6,6.4,27.8,19.8,8.3,33,4.1,0.2,10,2.2,28.2,0.3,19
Sri Potti Sriramulu Nello ,Andhra Pradesh,865,922,132,67.9,20.8,1049,1011 ,88.1,84.8 ,99.1,95.6,81.8,84.6,85.6,72.3,9.6 ,70.5,38.7,23.8 ,3.4 ,14.9 ,84,71.9,71.7,71.4,0,0,0,0.3,0,3.1,2.3,19.7,21.7 ,89.0 ,73.0 ,94.2 ,76.1 ,51.8 ,92.8 ,95.5 ,1104 ,*,94.3 ,97,34.9,3,100,42.3,57.5 ,18.8 ,65.3 ,(80.1),89.2 ,69.4 ,81.1 ,81.1 ,18.7 ,70.9 ,77.2 ,77.0 ,(91.3),(8.8),8.9,*,*,*,3.9,(72.3),39.4 ,(54.7),*,7.4 ,*,6.9 ,29.2 ,17.2 ,6.9 ,27.8 ,0.5 ,15.2,39.5,47.6,67.5 ,59.6,*,59.4,68.6 ,8.2,12.3,21.8,7.2,12.7,21.1,12.7,4.5,23,15.3,5.9,25.1,10.2,0.8,6.7,4.4,26.5,0.3,25.9
Y.S.R. ,Andhra Pradesh,910,1017,140,61.9,24.1,1058,779 ,94.3,86.1 ,99.8,99.9,85.4,94.3,80.2,73.3,9.5 ,63.8,40,25.6 ,1.2 ,10.9 ,92.5,69.1,68.4,68.1,0,0.3,0,0,0,5.5,3.1,29.5,14.6 ,84.4 ,82.8 ,93.4 ,71.2 ,39.7 ,97.7 ,92.3 ,3389 ,*,91.3 ,99.4,40.7,0.6,100,36.2,43.5 ,26.2 ,83.0 ,89.7 ,92.0 ,84.9 ,88.9 ,88.7 ,26.4 ,87.5 ,89.0 ,90.1 ,98.3 ,1.7 ,5.9,*,*,*,2.3,60.3 ,48.3 ,(77.4),*,4.9 ,*,5.5 ,34.4 ,14.1 ,4.2 ,26.7 ,0.2 ,15.9,33.9,30.6,60.6 ,56.1,(57.6),56.1,60.2 ,8.4,8.7,18.4,9.9,10.6,22.3,13.6,5.7,23.2,17.8,6.9,27.3,13.4,0.9,3.6,3.1,18,0.2,16
Kurnool ,Andhra Pradesh,870,908,139,55.2,25.9,1045,918 ,86.1,77.9 ,99.9,97.9,73.5,78.1,70.4,73.3,5.5 ,57,33.4,36.9 ,3.0 ,12.4 ,78.9,70,70,69.5,0,0,0.2,0.4,0,2.1,0.9,20.7,22.2 ,78.6 ,74.3 ,91.3 ,69.8 ,43.3 ,95.6 ,87.8 ,2094 ,*,87.3 ,88.5,51.1,2,90.6,32.9,64.5 ,17.2 ,67.0 ,(80.4),95.9 ,69.0 ,86.3 ,84.1 ,22.3 ,69.1 ,76.6 ,79.1 ,100.0 ,0.0 ,4.5,*,*,*,4.2,73.1 ,67.2 ,(78.1),*,9.6 ,*,9.6 ,50.5 ,16.7 ,6.0 ,46.3 ,1.1 ,20.6,29,42.1,70.8 ,58.3,(67.8),58.6,61.1 ,6.9,6.9,15.1,9.2,10.2,20.6,18.3,5.1,27,22.2,7.4,31.8,2.3,0.2,2.9,2.1,19.9,0.4,20
Anantapur ,Andhra Pradesh,882,868,146,59.5,24.3,1047,881 ,94.3,87.2 ,99.6,98.8,71.3,86.4,88.6,73.2,17.0 ,63.6,31.3,37.3 ,2.0 ,13.6 ,95,67.6,67.6,67.2,0,0,0,0.1,0,6.4,3.7,21.9,36.4 ,80.3 ,66.6 ,97.5 ,72.0 ,38.5 ,100.0 ,89.1 ,2682 ,*,87.3 ,94.7,60.3,2.8,98.3,22.2,37.0 ,15.7 ,(81.8),(96.6),(95.7),(81.8),(90.2),(92.9),(17.8),(75.0),(87.7),75.7 ,(91.8),(8.2),2.5,*,*,*,2.6,(84.1),54.7 ,(71.6),*,3.9 ,*,2.9 ,36.0 ,19.3 ,4.0 ,40.6 ,0.3 ,21.9,29.3,46.3,55.8 ,50.3,(54.9),50.5,50.0 ,5.4,7.8,14.2,7.5,8.3,16.8,12.4,8.5,23.4,16.2,7.7,26.7,1,0.4,4,5,20.5,0.6,16.8
Chittoor ,Andhra Pradesh,865,828,121,65.6,22.6,1024,1019 ,94.7,74.3 ,99.7,98.5,74.6,86.6,85.5,70.7,14.2 ,69.3,40.3,28.1 ,3.2 ,19.7 ,94.7,69,68.9,67.9,0,0,0,0.8,0,6,3.9,21.3,29.1 ,80.3 ,65.3 ,97.8 ,71.7 ,43.7 ,98.2 ,93.8 ,2533 ,*,95.2 ,97.1,66.5,1.3,97.6,26.4,54.7 ,14.6 ,(66.6),(87.5),(97.2),(69.1),(88.4),(89.6),(26.8),(75.0),(86.2),76.9 ,(100.0),(0.0),4.8,*,*,*,3.1,84.4 ,38.7 ,(65.5),*,(6.2),*,6.0 ,27.1 ,14.8 ,6.3 ,27.9 ,0.5 ,20.1,33.4,41.7,54.9 ,51.8,(52.7),51.8,43.9 ,6.9,8.4,17.2,7.2,12.3,22.4,10.7,5.4,22.7,16.8,5.9,27.1,2.2,0.3,4,4.3,18.7,0.4,18.3
Tawang ,Arunachal Pradesh,905,924,137,59.3,27.3,1063,834 ,95.3,51.2 ,99.7,99.8,81.7,88.1,99.9,33.5,3.3 ,59.1,39.2,11.9 ,0.8 ,1.4 ,88.4,62.1,56.3,9.1,0,10.4,29.5,1.7,1.3,14.6,11.7,24.8,67.7 ,79.9 ,37.6 ,85.3 ,28.2 ,14.6 ,99.6 ,49.6 ,5345 ,(0.0),48.8 ,84.2,83.8,5.7,89.9,17.3,*,20.2 ,67.5 ,76.8 ,93.1 ,69.3 ,81.9 ,90.8 ,19.2 ,28.7 ,77.6 ,84.4 ,100.0 ,0.0 ,14.8,(73.3),(59.1),(51.5),6.2,(57.5),60.6 ,*,*,20.4 ,*,18.8 ,30.4 ,7.1 ,1.9 ,9.0 ,21.1 ,1.2,35.4,68.3,89.6 ,59.2,(57.4),59.1,76.3 ,3.1,0.7,4.5,5.5,1.6,8.5,17.4,11.7,30.3,25.7,9.2,36.4,1,0.8,0.7,5.1,24,23.4,43.2
